"","Country","Rad2013","Rad2014","Rad2015","GDP2013","GDP2014","GDP2015","Veh2013","Veh2014","Veh2015","Elec2013","Elec2014"
"37","El Salvador",12.92078814,11.72338682,13.35295711,3998.739499,4102.063852,4219.35033,1.872030615,1.931985593,2.023966704,0.000961491,0.000938408
"38","Estonia",438.6679181,138.1428555,142.8203397,19029.77923,19941.4527,17118.5042,17.74131504,18.90007569,18.99469359,0.006118603,0.00622798
"39","Finland",704.2266443,197.6353801,0.443632658,49638.07713,49887.89697,42311.03623,21.57907781,21.99262768,22.52384298,0.0150298,0.014807962
"40","France",99.53406514,89.01755506,96.32213082,42571.19799,42696.77883,36205.5681,33.45919109,33.2490525,35.10176155,0.006899064,0.006481576
"41","Gabon",325.2998908,257.296289,175.2010674,10658.77273,10772.06175,8266.445605,3.332624393,2.903406051,1.912719702,0.001134183,0.001242184
"42","Georgia",61.71371822,40.17547625,47.11280239,4274.376873,4429.650075,3795.973308,1.403601695,1.475717735,1.141614569,0.002409354,0.002633442
"43","Germany",48.6944228,37.99104745,40.78867117,45688.39307,47902.65288,41313.31399,39.66405461,41.44991819,43.47977222,0.006630787,0.006581911
"44","Ghana",13.39069772,12.34225414,12.35867648,1827.101368,1441.636453,1369.701122,0.519789614,0.485317322,0.175119253,0.00036855,0.000343667
"45","Greece",100.3935082,76.86405207,99.17605129,21874.8195,21673.78107,18002.23058,5.706228544,7.038385342,7.580010296,0.004784878,0.004831624
"46","Guatemala",14.53827095,12.50832475,15.81886002,3432.017458,3666.579838,3903.478856,1.778112808,1.860698146,1.909086253,0.000539589,0.000558957
"47","Guyana",440.7785208,249.4642574,323.0893578,3928.87895,4028.163991,4127.351018,7.28220721,7.244470102,7.330348006,0.000880382,0.001007995
"48","Honduras",28.17216688,25.88561711,33.66922351,2340.684866,2434.280046,2528.89355,1.528845687,1.456978929,1.399370407,0.000684676,0.000660175
"49","Hungary",59.99192163,45.91805294,51.3949353,13613.60147,14117.97668,12363.54346,7.376366637,8.991971595,10.25253624,0.003730889,0.00380899
"50","India",8.746367213,9.784624989,10.11729504,1456.201628,1576.817669,1598.259034,2.53325897,2.452733531,2.612665133,0.000706172,0.000750907
"51","Indonesia",17.0320387,14.79689252,18.73136178,3631.672694,3499.588735,3346.487039,4.894414128,4.697923181,4.004529907,0.000729831,0.000765747
"52","Iraq",158.3077978,142.7976118,172.4460337,6879.69779,6484.529337,4943.760388,3.445003639,2.486300329,1.350780179,0.001292129,0.001184686
"53","Ireland",85.61544782,89.84270855,99.97170687,52034.76822,55503.32726,61133.67243,18.94093766,24.9034864,32.49960189,0.005338971,0.005357309
"54","Israel",95.50865438,102.7287997,105.3285046,36393.66932,37582.84624,35728.0935,26.73863143,29.50448531,31.0486373,0.006257329,0.006163502
"55","Italy",90.98523643,93.50658687,97.78491971,35370.27441,35365.10412,29957.80432,23.58825956,24.56043958,28.37710253,0.004924383,0.004791441
"56","Jamaica",30.60262596,26.60891862,33.20211259,5259.042342,5108.357038,5232.024583,1.731334465,1.837860965,2.164390205,0.000988702,0.001028371
"57","Japan",30.24520738,30.06195932,27.44202845,40488.2432,38139.42236,34523.70077,42.21431768,43.75685706,39.7493048,0.0075321,0.007350062
"58","Jordan",47.63229414,49.83506792,54.24405169,4656.219807,4830.976915,4940.045836,4.019497613,3.209241321,3.002154046,0.002046348,0.002095818
"59","Kazakhstan",471.5619795,322.1577787,293.1922628,13890.85601,12806.56511,10509.98107,9.727462574,9.460285783,5.551715714,0.005005206,0.005259203
"60","Kenya",17.75522653,17.63749008,13.44762082,1261.092863,1368.491132,1376.712829,0.297531307,0.300912212,0.306186917,0.000163584,0.000168737
