Country,Vehicle/1000 - 2013,Vehicle/1000 - 2014,Vehicle/1000 - 2015
Zambia,0.262362419,0.254431189,0.209724208
Gabon,3.332624393,2.903406051,1.912719702
Uganda,0.136711429,0.129688054,0.079421233
Albania,0.859613098,0.950355502,0.951831445
Armenia,1.801354993,1.86284535,0.828442211
Zimbabwe,0.335613446,0.380431271,0.160228155
Madagascar,0.095966958,0.110301699,0.094902537
Tanzania,0.133430367,0.111920237,0.041144244
Malawi,0.095119704,0.101825351,0.110367377
Myanmar,0.056621049,0.033684425,0.03339694
Burkina Faso,0.064385643,0.051167768,0.077324271
Mongolia,0.769452996,0.549852554,0.337936707
Belize,1.191192151,1.137313552,2.226632191
Burundi,0.050640367,0.036979308,0.035781629
Liberia,0.100146913,0.090980345,0.08882103
Moldova,1.686072424,1.15285217,0.028136123
